paper_item,paper_result,artifact_task,primary_inputs,script_or_code,reviewer_action
Fig. 1,Vista design overview,design_trace,"examples/train/quantum/*; verl_tool/workers/reward_manager/quantum.py; verl_tool/servers/tools/quantum_cpu.py; verl_tool/servers/tools/utils/quantum_reward_cal.py",inspect code path,Check that the diagram components correspond to the training script verifier tool and reward manager.
Fig. 2,Per-primitive Utility/HQCR comparison,per_primitive,vista_draw/dataset/per_primitive_hqcr.csv,vista_draw/plot_per_primitive_breakdown.py,Run draw_vista_figures.py --only per_primitive.
Fig. 3,Threshold and objective-gap robustness,"relative_entropy; box","vista_draw/dataset/relative_entropy_table.csv; vista_draw/dataset/box.csv","vista_draw/plot_relative_entropy.py; vista_draw/plot_box.py","Run draw_vista_figures.py --only relative_entropy,box. Fresh evaluator output can regenerate these plot inputs."
Fig. 4,Scaling robustness by qubit count,scalability_qubits,vista_draw/dataset/scalability_table_0.3.csv,vista_draw/plot_scalability.py,Run draw_vista_figures.py --only scalability_qubits.
Fig. 5,Scaling robustness by gate count and depth,scalability_gates_depth,"vista_draw/dataset/scalability_table_gates.csv; vista_draw/dataset/scalability_table_depth.csv",vista_draw/plot_scalability_gates_depth.py,Run draw_vista_figures.py --only scalability_gates_depth.
Fig. 6,Training dynamics of verified rewards,training_dynamics,"vista_draw/dataset/training_dynamics_table.csv; vista_draw/dataset/training_reward_dynamics_table.csv",vista_draw/plot_training_dynamics.py,Run draw_vista_figures.py --only training_dynamics.
Fig. 7,Verifier-efficiency pass/cost diagnostics,verifier_efficiency,vista_draw/dataset/verifier_efficiency_table.csv,vista_draw/plot_verifier_efficiency.py,Run draw_vista_figures.py --only verifier_efficiency.
Fig. 8,Budget-matched simulator comparison,training_logs,vista_draw/logs.csv,vista_draw/make_plots.py,Run draw_vista_figures.py --only training_logs.
Fig. 9,Verifier wall-clock time by stage,stage_cost,vista_draw/logs.csv,vista_draw/plot_verifier_stage_cost_breakdown.py,Run draw_vista_figures.py --only stage_cost.
Fig. 10,Hardware-level validation from archived QPU logs,hardware_report,vista_draw/dataset/helmi_deploy_report_*.json,"vista_draw/plot_helmi_reward_stability.py; vista_draw/plot_real_device_quality_efficiency_tradeoff.py","Run draw_vista_figures.py --only helmi_reward_stability,real_device_tradeoff."
Fig. 11,End-to-end pipeline latency on hybrid hardware,latency_breakdown,vista_draw/dataset/helmi_deploy_report_*.json,vista_draw/plot_latency_breakdown.py,Run draw_vista_figures.py --only latency_breakdown.
Fig. 12,Verifier-loop diagnostics on hybrid testbed,helmi_reward_stability,vista_draw/dataset/helmi_deploy_report_*.json,vista_draw/plot_helmi_reward_stability.py,Run draw_vista_figures.py --only helmi_reward_stability.
Fig. 13,Budget-matched hybrid-testbed comparison,training_logs,vista_draw/logs.csv,vista_draw/make_plots.py,Run draw_vista_figures.py --only training_logs and inspect budget_matched_q5 outputs.
Fig. 14,Instance-level quality-efficiency trade-off,real_device_tradeoff,vista_draw/dataset/helmi_deploy_report_*.json,vista_draw/plot_real_device_quality_efficiency_tradeoff.py,Run draw_vista_figures.py --only real_device_tradeoff.
Fig. 15,Dataset statistics,dataset_trace,"quantum-code-generation/code/data_generation/src/algorithms/*/*_data.pkl; artifact/tables/table3_training_settings.csv",inspect dataset inputs,This is descriptive dataset provenance rather than a model-result plot; inspect packaged graph-generation data and Table 3 settings.
Table 1,Pass@K comparison,table_reproduction,"quantum-code-generation/code/generation/out/*.json; quantum-code-generation/code/evaluation/out/*.json; artifact/tables/table1_passk_comparison.csv",quantum-code-generation/code/evaluation/src/evaluate_samples.py,Run evaluate_samples.py on raw generation JSONs and compare with table1_passk_comparison.csv.
Table 2,Reward ablation,table_reproduction,"ablation raw generation JSONs; artifact/tables/table2_reward_ablation.csv",quantum-code-generation/code/evaluation/src/evaluate_samples.py,Run evaluate_samples.py on each ablation output and compare with table2_reward_ablation.csv.
Table 3,Training settings,configuration_trace,artifact/tables/table3_training_settings.csv,"examples/train/quantum/*; artifact/scripts/show_paper_tables.py",Display table3_training_settings.csv and inspect training scripts for matching configuration.
